Name,RA,DE,Redshift,Vlsr,DistMpc,SDSSu,SDSSg,SDSSr,SDSSi,Re,R50,Ellipticity,PA,Mstar
NGC2522,8.103733,17.706600,0.015541,4590.867075,65.124520,15.363645,13.523424,12.431159,12.756908,11.700921,11.297446,0.881969,36.902606,11.0076
NGC2530,8.132113,17.818500,0.016678,4921.455118,69.794403,15.284067,14.390219,13.794276,14.004140,20.392908,25.818537,0.870405,26.566812,9.90257
NGC2540,8.212900,26.361800,0.020881,6136.183287,87.521986,15.151483,14.250021,13.594937,13.819102,18.564557,18.521994,0.453336,1.916080,10.2655
NGC2554,8.298193,23.472200,0.013650,4039.914069,57.812542,14.542770,12.981354,11.994120,12.306945,12.989461,17.836762,0.158960,-34.455876,10.9231
NGC2592,8.452233,25.970300,0.006544,1950.556270,28.590244,14.743908,12.992431,12.021041,12.348601,11.112464,11.297446,0.438974,27.684756,10.1991
NGC2595,8.461673,21.479100,0.014298,4228.834089,60.367452,15.424335,14.161213,13.248939,13.544528,19.712187,34.335659,0.971658,34.638372,10.2941
NGC2596,8.457367,17.284100,0.019643,5779.511342,81.910019,15.409912,14.282173,13.469836,13.738534,19.174699,20.767084,0.802005,-13.253167,10.3201
NGC3300,10.610680,14.171100,0.010121,3005.827825,43.184099,15.027421,13.336417,12.380488,12.710008,14.008989,15.607167,0.734273,39.043140,10.4791
NGC4003,11.966400,23.124900,0.021808,6402.880198,92.004559,15.865399,14.257255,13.226873,13.562006,13.065922,15.049768,0.718877,-29.057021,10.8593
NGC4816,12.936707,27.745500,0.023041,6756.508340,97.510308,15.868066,14.131206,13.177567,13.474621,14.577930,24.289509,0.974584,41.243849,11.0029
NGC4841A,12.958873,28.476900,0.022596,6629.115585,95.763581,15.450705,13.726406,12.786212,13.077228,14.451548,23.159765,0.982679,-37.916563,11.1038
NGC5928,15.434133,18.073600,0.014982,4428.326634,64.605524,15.161265,13.458401,12.490301,12.805997,12.730839,14.492369,0.599662,11.100514,10.7935
NGC5954,15.576397,15.200080,0.006509,1939.960725,29.395117,14.344322,13.517869,12.837906,13.042470,19.271396,21.328357,0.863227,9.953265,9.41902
NGC5957,15.589779,12.047600,0.006047,1803.268396,27.268628,15.338275,13.828406,12.897758,13.207135,19.964905,29.373360,0.619975,11.464866,9.78306
NGC6020,15.952261,22.404600,0.014461,4276.538887,62.779080,15.284902,13.583140,12.589131,12.915003,12.012245,13.470541,0.604060,-41.233876,10.7745
NGC6132,16.394120,11.786200,0.016610,4901.497015,70.955755,15.330448,14.379141,13.663947,13.913407,16.979578,17.960721,0.873015,40.276836,10.0647
NGC6427,17.727387,25.493900,0.010880,3228.925088,48.232237,15.126100,13.270343,12.224890,12.546784,11.824499,13.556936,0.974653,40.370728,10.7093
NGC6941,20.606521,-4.618700,0.020611,6058.349064,85.692584,15.796049,14.165318,13.167824,13.489634,17.402655,25.082946,0.962993,30.539695,10.849
NGC6945,20.650167,-4.972500,0.012488,3700.196977,52.443599,18.427416,16.729300,15.738681,16.059824,12.902057,15.816425,0.967749,35.203871,9.28782
NGC6977,20.874919,-5.746090,0.020362,5986.684431,84.537949,15.553591,13.994133,13.040905,13.372124,15.819627,19.508958,0.645416,44.312445,10.8062
NGC7025,21.129813,16.335900,0.016387,4836.704847,69.799970,14.866668,13.098781,12.078107,12.391531,15.008725,21.328357,0.976184,-5.750990,11.1608
NGC7194,22.058594,12.636800,0.027129,7923.666988,112.786098,15.440496,13.711540,12.714632,13.027328,11.415578,12.909269,0.962871,-0.790700,11.3497
NGC7311,22.568553,5.570300,0.015185,4487.223215,63.751271,14.444974,12.794704,11.808062,12.123183,12.287230,13.934970,0.655268,20.409360,11.1266
